   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.587	       246.4836	             12
          0.588	       246.5353	             12
          0.589	       246.7494	             12
           0.59	       246.8207	             12
          0.591	       247.2522	             12
          0.592	       247.2843	             12
          0.593	       247.4929	             12
          0.594	       247.5218	             12
          0.595	       247.7779	             12
          0.596	       247.8694	             12
          0.597	       248.1206	             12
          0.598	       248.1489	             12
          0.599	       248.3558	             12
            0.6	        248.429	             12
          0.601	       248.8673	             12
          0.602	       248.9069	             12
          0.603	       249.1187	             12
          0.604	        249.147	             12
          0.605	        249.403	             12
          0.606	       249.4807	             12
          0.607	       249.7256	             12
          0.608	       249.7643	             12
          0.609	        249.979	             12
           0.61	       250.0733	             12
          0.611	       250.5135	             12
          0.612	       250.5443	             12
          0.613	       250.7551	             12
          0.614	       250.7943	             12
          0.615	       251.0448	             12
          0.616	        251.126	             12
          0.617	       251.3758	             12
          0.618	       251.4057	             12
          0.619	       251.6124	             12
           0.62	       251.6874	             12
          0.621	       252.1268	             12
          0.622	       252.1566	             12
          0.623	       252.3635	             12
          0.624	       252.4038	             12
          0.625	       252.6572	             13
          0.626	       252.7368	             13
          0.627	       252.9879	             13
          0.628	        253.016	             13
          0.629	       253.2281	             13
           0.63	        253.301	             13
          0.631	       253.7322	             13
          0.632	       253.7716	             13
          0.633	       253.9833	             13
          0.634	       254.0108	             13
          0.635	       254.2605	             13
          0.636	       254.3415	             13
          0.637	       254.5954	             13
          0.638	       254.6351	             13
          0.639	        254.844	             13
           0.64	       254.9151	             13
          0.641	       255.3501	             13
          0.642	       255.3807	             13
          0.643	       255.5944	             13
          0.644	       255.6222	             13
          0.645	       255.8773	             13
          0.646	       255.9572	             13
          0.647	       256.2066	             13
          0.648	       256.2351	             13
          0.649	       256.4434	             13
           0.65	       256.5177	             13
          0.651	       256.9532	             13
          0.652	       256.9824	             13
          0.653	       257.1963	             13
          0.654	       257.2276	             13
          0.655	       257.4786	             13
          0.656	       257.5546	             13
          0.657	       257.8141	             13
          0.658	       257.8432	             13
          0.659	       258.0654	             13
           0.66	       258.1368	             13
          0.661	       258.5759	             13
          0.662	       258.6159	             13
          0.663	       258.8249	             13
          0.664	       258.8533	             13
          0.665	        259.103	             13
          0.666	       259.1811	             13
          0.667	       259.4328	             13
          0.668	       259.4613	             13
          0.669	       259.6715	             13
           0.67	        259.742	             13
          0.671	       260.1788	             13
          0.672	       260.2184	             13
          0.673	       260.4297	             13
          0.674	       260.4685	             13
          0.675	       260.7235	             14
          0.676	       260.8139	             14
          0.677	       261.0742	             14
          0.678	       261.1034	             14
          0.679	       261.3182	             14
           0.68	       261.3896	             14
          0.681	        261.826	             14
          0.682	        261.858	             14
          0.683	       262.0682	             14
          0.684	       262.0962	             14
          0.685	       262.3467	             14
          0.686	       262.4285	             14
          0.687	       262.6833	             14
          0.688	       262.7222	             14
          0.689	        262.939	             14
           0.69	       263.0104	             14
          0.691	       263.4445	             14
          0.692	       263.4766	             14
          0.693	       263.6877	             14
          0.694	       263.7193	             14
          0.695	       263.9737	             14
          0.696	       264.0534	             14
          0.697	       264.2979	             14
          0.698	       264.3383	             14
          0.699	       264.5476	             14
            0.7	       264.6229	             14
          0.701	       265.0585	             14
          0.702	       265.1006	             14
          0.703	       265.3105	             14
          0.704	       265.3404	             14
          0.705	       265.5871	             14
          0.706	       265.6874	             14
          0.707	       265.9466	             14
          0.708	       265.9758	             14
          0.709	       266.1837	             14
           0.71	       266.2541	             14
          0.711	       266.6956	             14
          0.712	       266.7249	             14
          0.713	       266.9294	             14
          0.714	       266.9585	             14
          0.715	       267.2114	             14
          0.716	       267.3034	             14
          0.717	       267.5505	             14
          0.718	       267.5803	             14
          0.719	       267.7924	             14
           0.72	       267.8643	             14
          0.721	       268.3001	             14
          0.722	       268.3419	             14
          0.723	       268.5532	             14
          0.724	       268.5842	             14
          0.725	       268.8346	             15
          0.726	       268.9166	             15
          0.727	       269.1676	             15
          0.728	       269.1961	             15
          0.729	       269.4077	             15
           0.73	       269.4782	             15
          0.731	       269.9125	             15
          0.732	       269.9419	             15
          0.733	       270.1498	             15
          0.734	       270.1794	             15
          0.735	       270.4362	             15
          0.736	       270.5178	             15
          0.737	       270.7646	             15
          0.738	        270.793	             15
          0.739	       270.9992	             15
           0.74	       271.0712	             15
          0.741	       271.5051	             15
          0.742	       271.5361	             15
          0.743	       271.7489	             15
          0.744	       271.7778	             15
          0.745	       272.0304	             15
          0.746	        272.106	             15
          0.747	       272.3531	             15
          0.748	       272.3814	             15
          0.749	       272.5925	             15
           0.75	       272.6663	             15
          0.751	       273.1033	             15
          0.752	       273.1327	             15
          0.753	       273.3444	             15
          0.754	       273.3837	             15
          0.755	       273.6329	             15
          0.756	       273.7331	             15
          0.757	       273.9855	             15
          0.758	       274.0141	             15
          0.759	       274.2229	             15
           0.76	       274.3045	             15
          0.761	       274.7405	             15
          0.762	         274.77	             15
          0.763	       274.9801	             15
          0.764	        275.011	             15
          0.765	       275.2658	             15
          0.766	       275.3441	             15
          0.767	       275.5913	             15
          0.768	       275.6202	             15
          0.769	       275.8337	             15
           0.77	       275.9374	             15
          0.771	       276.3711	             15
          0.772	       276.4009	             15
          0.773	       276.6145	             15
          0.774	       276.6432	             15
          0.775	       276.8949	             16
          0.776	       276.9795	             16
          0.777	       277.2286	             16
          0.778	       277.2581	             16
          0.779	       277.4698	             16
           0.78	       277.5379	             16
          0.781	       277.9774	             16
          0.782	       278.0066	             16
          0.783	       278.2179	             16
          0.784	       278.2568	             16
          0.785	       278.5146	             16
          0.786	       278.5936	             16
          0.787	       278.8406	             16
          0.788	       278.8798	             16
          0.789	       279.0918	             16
           0.79	       279.1632	             16
          0.791	       279.6019	             16
          0.792	       279.6323	             16
          0.793	       279.8446	             16
          0.794	       279.8836	             16
          0.795	       280.1334	             16
          0.796	       280.2121	             16
          0.797	       280.4503	             16
          0.798	       280.4995	             16
          0.799	       280.7087	             16
            0.8	       280.7808	             16
          0.801	       281.2213	             16
          0.802	       281.2512	             16
          0.803	       281.4555	             16
          0.804	        281.484	             16
          0.805	       281.7359	             16
